"Year","cpi"
1947,22.3316666666667
1948,24.045
1949,23.8091666666667
1950,24.0625
1951,25.9733333333333
1952,26.5666666666667
1953,26.7683333333333
1954,26.865
1955,26.7958333333333
1956,27.1908333333333
1957,28.1133333333333
1958,28.8808333333333
1959,29.15
1960,29.585
1961,29.9016666666667
1962,30.2533333333333
1963,30.6333333333333
1964,31.0383333333333
1965,31.5283333333333
1966,32.4708333333333
1967,33.375
1968,34.7916666666667
1969,36.6833333333333
1970,38.8416666666667
1971,40.4833333333333
1972,41.8083333333333
1973,44.425
1974,49.3166666666667
1975,53.825
1976,56.9333333333333
1977,60.6166666666667
1978,65.2416666666667
1979,72.5833333333333
1980,82.3833333333333
1981,90.9333333333333
1982,96.5333333333333
1983,99.5833333333333
1984,103.933333333333
1985,107.6
1986,109.691666666667
1987,113.616666666667
1988,118.275
1989,123.941666666667
1990,130.658333333333
1991,136.166666666667
1992,140.308333333333
1993,144.475
1994,148.225
1995,152.383333333333
1996,156.858333333333
1997,160.525
1998,163.008333333333
1999,166.583333333333
2000,172.191666666667
2001,177.041666666667
2002,179.866666666667
2003,184
2004,188.908333333333
2005,195.266666666667
2006,201.558333333333
2007,207.344166666667
2008,215.25425
2009,214.564666666667
2010,218.076166666667
2011,224.923
2012,229.586083333333
2013,232.948916666667
2014,236.703916666667
2015,236.98725
2016,240.00925
